Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,com.example.yink.amadeus.MainActivity,3.0,2.0,4.0,1.0,25.0,1.0,23.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,9.0,8.0,9.0,9.0,0.0,3.0,4.0,2.0,,315,30,280,61,210,12,,,,158,206,61,145,,,,,,19.0,12.0,30.0,1.0,,2.0,2,,81.0,75.0,0.04,31,24,42,9,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,1
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,19.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,45,9,36,8,25,0,,,,20,25,8,17,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,1,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_2),1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,1,9,1,8,0,,,,5,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Private Class,com.example.yink.amadeus.MainActivity.Mood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,14.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,16,15,14,1,,,,14,15,15,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.06,0,0,0,0,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Public Class,com.example.yink.amadeus.MainActivity.listener,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,9.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,,36,2,34,13,14,0,,,,14,24,13,11,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,9,9,9,9,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,9,0,9,2,7,0,,,,3,5,2,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_2),3.0,3.0,4.0,1.0,14.0,2.0,11.0,1.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,16,2,13,3,11,1,,,,4,7,3,4,,,,,,3.0,3.0,4.0,1.0,,2.0,2,,0.0,0.0,0.08,3,3,4,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_3),3.0,3.0,3.0,1.0,12.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,0,14,0,11,0,,,,5,8,1,7,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.0,3,3,3,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4),1.0,1.0,1.0,1.0,11.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,13,1,12,0,10,0,,,,4,6,2,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,7efe80ab13f0a87df6e4e75dde8dd198c4750ac3,0
